Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1996","1996","t","568658019.23","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1997","1997","ha","151216612","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1997","1997","t","577136882.15","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1998","1998","ha","151681527","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1998","1998","t","578813970.85","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1999","1999","ha","156833929","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1999","1999","t","611177562.79","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2000","2000","ha","154001935","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2000","2000","t","598668144.08","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2001","2001","ha","151951944","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2001","2001","t","600246670.85","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2002","2002","ha","147854708","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2002","2002","t","571049519.54","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2003","2003","ha","148530163","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2003","2003","t","586926818.22","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2004","2004","ha","150700492","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2004","2004","t","607349028.2","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2005","2005","ha","155266701","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2005","2005","t","634225538.13","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2006","2006","ha","155560590","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2006","2006","t","640705585.62","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2007","2007","ha","154906579","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2007","2007","t","653970130.65","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2008","2008","ha","159460608","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2008","2008","t","684382978.71","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2009","2009","ha","156685450","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2009","2009","t","680265683.28","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2010","2010","ha","160833727","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2010","2010","t","694471883.35","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2011","2011","ha","161778988","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2011","2011","t","719469858.07","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2012","2012","ha","160854022","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2012","2012","t","727680664.25","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2013","2013","ha","163128502","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2013","2013","t","731770430.69","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2014","2014","ha","162253249","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2014","2014","t","731417050.69","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2015","2015","ha","160509412","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2015","2015","t","732898369.09","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2016","2016","ha","161379058","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2016","2016","t","737089267.76","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2017","2017","ha","163480266","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2017","2017","t","751120236.25","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2018","2018","ha","163887845","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2018","2018","t","761025481.44","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2019","2019","ha","160518465","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2019","2019","t","753286401.1","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2020","2020","ha","163092574","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2020","2020","t","769227953.1","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2021","2021","ha","165250620","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2021","2021","t","787293867.41","A","Official figure",""
